ocel:activity,ocel:timestamp,ocel:type:MAT,ocel:type:PLA,ocel:type:PO_ITEM,ocel:type:SO_ITEM,ocel:type:CUSTOMER,ocel:type:SUPPLIER,Stock Before,Stock After,ocel:type:MAT_PLA,ocel:eid,Annual Demand (D_m),Average Daily Demand (d_m),Std Dev of Daily Demand (σ_m),Average Lead Time (l_m),EOQ,Safety Stock (SS),Reorder Point (ROP),OS,CUMCOUNT,INVCUMCOUNT,Current Status,Status Change Happened,Status Change Happened2,Status Change Happened3,Status Change Happened4
ST CHANGE NORMAL to UNDERSTOCK,2024-07-19 00:49:59,['MAT-26'],['Plant2'],,,['CUSTOMER--758734'],,24.0,0.0,['MAT-26_Plant2'],e326_STARTSC,24.0,24.0,2.4000000000000004,7.0,21.91,10.45,178.45,32.36,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
Goods Issue (Understock),2024-07-19 00:50:00,['MAT-26'],['Plant2'],,,['CUSTOMER--758734'],,24.0,0.0,['MAT-26_Plant2'],e326,24.0,24.0,2.4000000000000004,7.0,21.91,10.45,178.45,32.36,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
END UNDERSTOCK,2024-07-19 00:50:01,['MAT-26'],['Plant2'],,,['CUSTOMER--758734'],,24.0,0.0,['MAT-26_Plant2'],e326_END,24.0,24.0,2.4000000000000004,7.0,21.91,10.45,178.45,32.36,1,0,Understock,ST CHANGE NORMAL to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Normal to Understock,
START OVERSTOCK,2024-01-10 00:48:29,['MAT-26'],['Plant3'],['PO_ITEM--22-1'],,,['SUPPLIER--22'],93.0,93.0,['MAT-26_Plant3'],e317_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-01-10 00:48:30,['MAT-26'],['Plant3'],['PO_ITEM--22-1'],,,['SUPPLIER--22'],93.0,93.0,['MAT-26_Plant3'],e317,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE Overstock to Understock,2024-07-08 00:49:49,['MAT-26'],['Plant3'],,['SO_ITEM--195-1'],['CUSTOMER--42'],,0.0,0.0,['MAT-26_Plant3'],e325_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Sales Order Item (Understock),2024-07-08 00:49:50,['MAT-26'],['Plant3'],,['SO_ITEM--195-1'],['CUSTOMER--42'],,0.0,0.0,['MAT-26_Plant3'],e325,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
END UNDERSTOCK,2024-07-08 00:49:51,['MAT-26'],['Plant3'],,['SO_ITEM--195-1'],['CUSTOMER--42'],,0.0,0.0,['MAT-26_Plant3'],e325_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
START OVERSTOCK,2023-11-23 00:48:09,['MAT-26'],['Plant4'],['PO_ITEM--138-3'],,,['SUPPLIER--29'],117.0,117.0,['MAT-26_Plant4'],e315_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-11-23 00:48:10,['MAT-26'],['Plant4'],['PO_ITEM--138-3'],,,['SUPPLIER--29'],117.0,117.0,['MAT-26_Plant4'],e315,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-11-26 00:48:20,['MAT-26'],['Plant4'],['PO_ITEM--34-3'],,,['SUPPLIER--6'],117.0,117.0,['MAT-26_Plant4'],e316,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,3,Overstock,,,,
Create Purchase Order Item (Overstock),2024-01-29 00:48:40,['MAT-26'],['Plant4'],['PO_ITEM--56-1'],,,['SUPPLIER--10'],117.0,117.0,['MAT-26_Plant4'],e318,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,2,Overstock,,,,
Create Sales Order Item (Overstock),2024-05-17 00:49:30,['MAT-26'],['Plant4'],,['SO_ITEM--151-1'],['CUSTOMER--11'],,24.0,24.0,['MAT-26_Plant4'],e323,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Overstock,,,,
ST CHANGE UNDERSTOCK to OVERSTOCK,2024-08-29 00:50:09,['MAT-26'],['Plant4'],['PO_ITEM--14-3'],,,['SUPPLIER--10'],0.0,1.0,['MAT-26_Plant4'],e327_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,,
Goods Receipt (Overstock),2024-08-29 00:50:10,['MAT-26'],['Plant4'],['PO_ITEM--14-3'],,,['SUPPLIER--10'],0.0,1.0,['MAT-26_Plant4'],e327,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,,
END OVERSTOCK,2024-08-29 00:50:11,['MAT-26'],['Plant4'],['PO_ITEM--14-3'],,,['SUPPLIER--10'],0.0,1.0,['MAT-26_Plant4'],e327_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,,
START OVERSTOCK,2024-03-23 00:48:59,['MAT-26'],['Plant5'],['PO_ITEM--126-2'],,,['SUPPLIER--3'],116.0,116.0,['MAT-26_Plant5'],e320_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-03-23 00:49:00,['MAT-26'],['Plant5'],['PO_ITEM--126-2'],,,['SUPPLIER--3'],116.0,116.0,['MAT-26_Plant5'],e320,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Overstock,START OVERSTOCK,,,
Goods Issue (Overstock),2024-04-17 00:49:10,['MAT-26'],['Plant5'],,,['CUSTOMER--381070'],,116.0,23.0,['MAT-26_Plant5'],e321,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Overstock,,,,
ST CHANGE Overstock to Understock,2024-09-12 00:50:19,['MAT-26'],['Plant5'],,['SO_ITEM--187-3'],['CUSTOMER--21'],,0.0,0.0,['MAT-26_Plant5'],e328_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Sales Order Item (Understock),2024-09-12 00:50:20,['MAT-26'],['Plant5'],,['SO_ITEM--187-3'],['CUSTOMER--21'],,0.0,0.0,['MAT-26_Plant5'],e328,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
END UNDERSTOCK,2024-09-12 00:50:21,['MAT-26'],['Plant5'],,['SO_ITEM--187-3'],['CUSTOMER--21'],,0.0,0.0,['MAT-26_Plant5'],e328_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
START UNDERSTOCK,2024-05-08 00:52:09,['MAT-27'],['Plant1'],,['SO_ITEM--124-1'],['CUSTOMER--6'],,0.0,0.0,['MAT-27_Plant1'],e340_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-05-08 00:52:10,['MAT-27'],['Plant1'],,['SO_ITEM--124-1'],['CUSTOMER--6'],,0.0,0.0,['MAT-27_Plant1'],e340,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-08-04 00:52:40,['MAT-27'],['Plant1'],,['SO_ITEM--65-3'],['CUSTOMER--1'],,0.0,0.0,['MAT-27_Plant1'],e343,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-08-04 00:52:41,['MAT-27'],['Plant1'],,['SO_ITEM--65-3'],['CUSTOMER--1'],,0.0,0.0,['MAT-27_Plant1'],e343_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2023-10-21 00:50:29,['MAT-27'],['Plant2'],,['SO_ITEM--23-1'],['CUSTOMER--41'],,0.0,0.0,['MAT-27_Plant2'],e330_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-10-21 00:50:30,['MAT-27'],['Plant2'],,['SO_ITEM--23-1'],['CUSTOMER--41'],,0.0,0.0,['MAT-27_Plant2'],e330,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Suggestion Item (Understock),2023-12-06 00:51:30,['MAT-27'],['Plant2'],,,,,0.0,0.0,['MAT-27_Plant2'],e336,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2023-12-06 00:51:31,['MAT-27'],['Plant2'],,,,,0.0,0.0,['MAT-27_Plant2'],e336_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START OVERSTOCK,2023-10-31 00:50:39,['MAT-27'],['Plant3'],,,,,41.0,41.0,['MAT-27_Plant3'],e331_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Overstock,START OVERSTOCK,,,
Create Purchase Suggestion Item (Overstock),2023-10-31 00:50:40,['MAT-27'],['Plant3'],,,,,41.0,41.0,['MAT-27_Plant3'],e331,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,3,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-11-28 00:51:00,['MAT-27'],['Plant3'],['PO_ITEM--134-1'],,,['SUPPLIER--21'],41.0,41.0,['MAT-27_Plant3'],e333,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,2,Overstock,,,,
ST CHANGE Overstock to Understock,2024-07-24 00:52:29,['MAT-27'],['Plant3'],,,,,0.0,0.0,['MAT-27_Plant3'],e342_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Understock,,,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Purchase Suggestion Item (Understock),2024-07-24 00:52:30,['MAT-27'],['Plant3'],,,,,0.0,0.0,['MAT-27_Plant3'],e342,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,1,Understock,,,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
ST CHANGE UNDERSTOCK to OVERSTOCK,2024-09-14 00:52:49,['MAT-27'],['Plant3'],['PO_ITEM--9-1'],,,['SUPPLIER--27'],0.0,16.0,['MAT-27_Plant3'],e344_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,ST CHANGE Understock to Overstock,
Goods Receipt (Overstock),2024-09-14 00:52:50,['MAT-27'],['Plant3'],['PO_ITEM--9-1'],,,['SUPPLIER--27'],0.0,16.0,['MAT-27_Plant3'],e344,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,ST CHANGE Understock to Overstock,
END OVERSTOCK,2024-09-14 00:52:51,['MAT-27'],['Plant3'],['PO_ITEM--9-1'],,,['SUPPLIER--27'],0.0,16.0,['MAT-27_Plant3'],e344_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,0,Overstock,ST CHANGE UNDERSTOCK to OVERSTOCK,END OVERSTOCK,ST CHANGE Understock to Overstock,
START OVERSTOCK,2023-11-19 00:50:49,['MAT-27'],['Plant4'],['PO_ITEM--12-1'],,,['SUPPLIER--20'],41.0,41.0,['MAT-27_Plant4'],e332_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-11-19 00:50:50,['MAT-27'],['Plant4'],['PO_ITEM--12-1'],,,['SUPPLIER--20'],41.0,41.0,['MAT-27_Plant4'],e332,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,4,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2023-12-05 00:51:10,['MAT-27'],['Plant4'],['PO_ITEM--98-1'],,,['SUPPLIER--11'],41.0,41.0,['MAT-27_Plant4'],e334,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,3,Overstock,,,,
Create Purchase Order Item (Overstock),2023-12-05 00:51:20,['MAT-27'],['Plant4'],['PO_ITEM--98-5'],,,['SUPPLIER--11'],41.0,41.0,['MAT-27_Plant4'],e335,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,2,Overstock,,,,
Create Sales Order Item (Overstock),2024-02-03 00:51:50,['MAT-27'],['Plant4'],,['SO_ITEM--148-2'],['CUSTOMER--18'],,41.0,41.0,['MAT-27_Plant4'],e338,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,3,1,Overstock,,,,
ST CHANGE OVERSTOCK to UNDERSTOCK,2024-04-17 00:51:59,['MAT-27'],['Plant4'],,,['CUSTOMER--799051'],,41.0,0.0,['MAT-27_Plant4'],e339_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
Goods Issue (Understock),2024-04-17 00:52:00,['MAT-27'],['Plant4'],,,['CUSTOMER--799051'],,41.0,0.0,['MAT-27_Plant4'],e339,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
END UNDERSTOCK,2024-04-17 00:52:01,['MAT-27'],['Plant4'],,,['CUSTOMER--799051'],,41.0,0.0,['MAT-27_Plant4'],e339_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,4,0,Understock,ST CHANGE OVERSTOCK to UNDERSTOCK,END UNDERSTOCK,ST CHANGE Overstock to Understock,
START OVERSTOCK,2024-01-08 00:51:39,['MAT-27'],['Plant5'],['PO_ITEM--84-2'],,,['SUPPLIER--13'],41.0,41.0,['MAT-27_Plant5'],e337_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Create Purchase Order Item (Overstock),2024-01-08 00:51:40,['MAT-27'],['Plant5'],['PO_ITEM--84-2'],,,['SUPPLIER--13'],41.0,41.0,['MAT-27_Plant5'],e337,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE Overstock to Understock,2024-06-25 00:52:19,['MAT-27'],['Plant5'],,['SO_ITEM--94-3'],['CUSTOMER--24'],,0.0,0.0,['MAT-27_Plant5'],e341_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Sales Order Item (Understock),2024-06-25 00:52:20,['MAT-27'],['Plant5'],,['SO_ITEM--94-3'],['CUSTOMER--24'],,0.0,0.0,['MAT-27_Plant5'],e341,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
END UNDERSTOCK,2024-06-25 00:52:21,['MAT-27'],['Plant5'],,['SO_ITEM--94-3'],['CUSTOMER--24'],,0.0,0.0,['MAT-27_Plant5'],e341_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
START UNDERSTOCK,2024-01-07 00:53:09,['MAT-28'],['Plant1'],,,['CUSTOMER--522666'],,55.0,0.0,['MAT-28_Plant1'],e347_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Goods Issue (Understock),2024-01-07 00:53:10,['MAT-28'],['Plant1'],,,['CUSTOMER--522666'],,55.0,0.0,['MAT-28_Plant1'],e347,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2024-02-15 00:53:20,['MAT-28'],['Plant1'],['PO_ITEM--38-2'],,,['SUPPLIER--11'],0.0,0.0,['MAT-28_Plant1'],e348,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Understock,,,,
Create Purchase Order Item (Understock),2024-08-26 00:53:50,['MAT-28'],['Plant1'],['PO_ITEM--91-2'],,,['SUPPLIER--10'],0.0,0.0,['MAT-28_Plant1'],e351,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-08-26 00:53:51,['MAT-28'],['Plant1'],['PO_ITEM--91-2'],,,['SUPPLIER--10'],0.0,0.0,['MAT-28_Plant1'],e351_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-09-24 00:54:19,['MAT-28'],['Plant2'],['PO_ITEM--143-1'],,,['SUPPLIER--17'],0.0,0.0,['MAT-28_Plant2'],e354_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Purchase Order Item (Understock),2024-09-24 00:54:20,['MAT-28'],['Plant2'],['PO_ITEM--143-1'],,,['SUPPLIER--17'],0.0,0.0,['MAT-28_Plant2'],e354,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-09-24 00:54:21,['MAT-28'],['Plant2'],['PO_ITEM--143-1'],,,['SUPPLIER--17'],0.0,0.0,['MAT-28_Plant2'],e354_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
START UNDERSTOCK,2024-09-06 00:54:09,['MAT-28'],['Plant3'],,['SO_ITEM--93-5'],['CUSTOMER--12'],,0.0,0.0,['MAT-28_Plant3'],e353_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Sales Order Item (Understock),2024-09-06 00:54:10,['MAT-28'],['Plant3'],,['SO_ITEM--93-5'],['CUSTOMER--12'],,0.0,0.0,['MAT-28_Plant3'],e353,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-09-06 00:54:11,['MAT-28'],['Plant3'],,['SO_ITEM--93-5'],['CUSTOMER--12'],,0.0,0.0,['MAT-28_Plant3'],e353_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
START OVERSTOCK,2024-01-04 00:52:59,['MAT-28'],['Plant4'],,['SO_ITEM--24-2'],['CUSTOMER--33'],,55.0,55.0,['MAT-28_Plant4'],e346_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
Create Sales Order Item (Overstock),2024-01-04 00:53:00,['MAT-28'],['Plant4'],,['SO_ITEM--24-2'],['CUSTOMER--33'],,55.0,55.0,['MAT-28_Plant4'],e346,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Overstock,START OVERSTOCK,,,
ST CHANGE Overstock to Understock,2024-05-21 00:53:29,['MAT-28'],['Plant4'],,['SO_ITEM--51-2'],['CUSTOMER--25'],,0.0,0.0,['MAT-28_Plant4'],e349_ARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
Create Sales Order Item (Understock),2024-05-21 00:53:30,['MAT-28'],['Plant4'],,['SO_ITEM--51-2'],['CUSTOMER--25'],,0.0,0.0,['MAT-28_Plant4'],e349,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
END UNDERSTOCK,2024-05-21 00:53:31,['MAT-28'],['Plant4'],,['SO_ITEM--51-2'],['CUSTOMER--25'],,0.0,0.0,['MAT-28_Plant4'],e349_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,ST CHANGE Overstock to Understock,ST CHANGE Overstock to Understock
START UNDERSTOCK,2024-07-13 00:53:39,['MAT-28'],['Plant5'],['PO_ITEM--106-1'],,,['SUPPLIER--15'],0.0,0.0,['MAT-28_Plant5'],e350_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2024-07-13 00:53:40,['MAT-28'],['Plant5'],['PO_ITEM--106-1'],,,['SUPPLIER--15'],0.0,0.0,['MAT-28_Plant5'],e350,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-09-01 00:54:00,['MAT-28'],['Plant5'],,['SO_ITEM--146-3'],['CUSTOMER--29'],,0.0,0.0,['MAT-28_Plant5'],e352,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-09-01 00:54:01,['MAT-28'],['Plant5'],,['SO_ITEM--146-3'],['CUSTOMER--29'],,0.0,0.0,['MAT-28_Plant5'],e352_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2023-10-19 00:54:29,['MAT-29'],['Plant1'],,['SO_ITEM--12-3'],['CUSTOMER--31'],,0.0,0.0,['MAT-29_Plant1'],e356_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2023-10-19 00:54:30,['MAT-29'],['Plant1'],,['SO_ITEM--12-3'],['CUSTOMER--31'],,0.0,0.0,['MAT-29_Plant1'],e356,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,2,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-12-05 00:55:00,['MAT-29'],['Plant1'],['PO_ITEM--98-2'],,,['SUPPLIER--11'],0.0,0.0,['MAT-29_Plant1'],e359,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,1,Understock,,,,
Create Sales Order Item (Understock),2024-01-12 00:55:10,['MAT-29'],['Plant1'],,['SO_ITEM--68-3'],['CUSTOMER--34'],,0.0,0.0,['MAT-29_Plant1'],e360,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-01-12 00:55:11,['MAT-29'],['Plant1'],,['SO_ITEM--68-3'],['CUSTOMER--34'],,0.0,0.0,['MAT-29_Plant1'],e360_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,2,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2023-11-07 00:54:39,['MAT-29'],['Plant2'],['PO_ITEM--135-2'],,,['SUPPLIER--6'],0.0,0.0,['MAT-29_Plant2'],e357_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-11-07 00:54:40,['MAT-29'],['Plant2'],['PO_ITEM--135-2'],,,['SUPPLIER--6'],0.0,0.0,['MAT-29_Plant2'],e357,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Purchase Order Item (Understock),2023-12-01 00:54:50,['MAT-29'],['Plant2'],['PO_ITEM--71-2'],,,['SUPPLIER--20'],0.0,0.0,['MAT-29_Plant2'],e358,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2023-12-01 00:54:51,['MAT-29'],['Plant2'],['PO_ITEM--71-2'],,,['SUPPLIER--20'],0.0,0.0,['MAT-29_Plant2'],e358_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-03-28 00:55:29,['MAT-29'],['Plant4'],,['SO_ITEM--61-3'],['CUSTOMER--43'],,0.0,0.0,['MAT-29_Plant4'],e362_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-03-28 00:55:30,['MAT-29'],['Plant4'],,['SO_ITEM--61-3'],['CUSTOMER--43'],,0.0,0.0,['MAT-29_Plant4'],e362,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,1,Understock,START UNDERSTOCK,,,
Create Sales Order Item (Understock),2024-07-08 00:55:40,['MAT-29'],['Plant4'],,['SO_ITEM--195-2'],['CUSTOMER--42'],,0.0,0.0,['MAT-29_Plant4'],e363,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
END UNDERSTOCK,2024-07-08 00:55:41,['MAT-29'],['Plant4'],,['SO_ITEM--195-2'],['CUSTOMER--42'],,0.0,0.0,['MAT-29_Plant4'],e363_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,1,0,Understock,,END UNDERSTOCK,,
START UNDERSTOCK,2024-03-26 00:55:19,['MAT-29'],['Plant5'],['PO_ITEM--78-2'],,,['SUPPLIER--22'],0.0,0.0,['MAT-29_Plant5'],e361_STARTSC,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
Create Purchase Order Item (Understock),2024-03-26 00:55:20,['MAT-29'],['Plant5'],['PO_ITEM--78-2'],,,['SUPPLIER--22'],0.0,0.0,['MAT-29_Plant5'],e361,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
END UNDERSTOCK,2024-03-26 00:55:21,['MAT-29'],['Plant5'],['PO_ITEM--78-2'],,,['SUPPLIER--22'],0.0,0.0,['MAT-29_Plant5'],e361_END,0.0,1.0,0.1,7.0,0.0,0.44,7.44,0.44,0,0,Understock,START UNDERSTOCK,END UNDERSTOCK,,
